,cpu0,cpu1,cpu2
0,0.8449999999999989,0.6659999999999968,0.8760000000000048
1,100.0,94.595,100.0
2,100.0,100.0,100.0
3,100.0,100.0,100.0
4,100.0,100.0,100.0
5,100.0,100.0,100.0
6,45.055,28.090000000000003,28.723
7,15.625,0.0,0.0
8,0.0,0.0,0.0
